patient_question,cleaned_text,keywords,distance_to_centroid
 I don't have as many vinyl records as my musicophile friend I must not have good taste in music.,many vinyl record musicophile friend must good taste music,"['record musicophile', 'musicophile friend', 'vinyl record', 'musicophile', 'vinyl']",0.25252232
 I didn't get an A on the test I must not have studied enough.,get test must studied enough,"['test studied', 'test', 'studied']",0.4026854
 I don't have a walk-in closet I must not have a good fashion sense.,walk closet must good fashion sense,"['walk closet', 'fashion sense', 'closet good', 'closet', 'fashion']",0.28773832
 My classmates didn't ask me to join their group they must not want to work with me.,classmate ask join group must want work,"['ask join', 'join group', 'group want', 'join', 'classmate ask']",0.4095652
 I didn't receive the merit badge they must not think I deserved it.,receive merit badge must think deserved,"['merit badge', 'receive merit', 'merit', 'think deserved', 'badge think']",0.34426975
 I don't have as many books as my bibliophile friend I must not be a real reader.,many book bibliophile friend must real reader,"['book bibliophile', 'bibliophile friend', 'bibliophile', 'real reader', 'reader']",0.23782623
 My friend didn't reply to my joke they must not think I'm funny.,friend reply joke must think funny,"['reply joke', 'joke think', 'joke', 'friend reply', 'think funny']",0.3697303
 I can't sew as well as my tailor friend I must lack fine motor skills.,sew well tailor friend must lack fine motor skill,"['sew tailor', 'tailor friend', 'sew', 'tailor', 'motor skill']",0.34697473
 I didn't get chosen for the debate team I must not be persuasive.,get chosen debate team must persuasive,"['chosen debate', 'debate team', 'team persuasive', 'debate', 'persuasive']",0.26793483
 I don't have a private jet I must not be truly wealthy.,private jet must truly wealthy,"['private jet', 'truly wealthy', 'jet truly', 'wealthy', 'jet']",0.18803218
 I didn't get accepted to the advanced program I must not be smart enough.,get accepted advanced program must smart enough,"['accepted advanced', 'advanced program', 'program smart', 'advanced', 'program']",0.2505219
 I don't have as many signed baseballs as my sports enthusiast friend I must not be a true fan.,many signed baseball sport enthusiast friend must true fan,"['signed baseball', 'baseball sport', 'baseball', 'sport enthusiast', 'true fan']",0.23009452
 My friend didn't ask me to house sit they must not trust me.,friend ask house sit must trust,"['house sit', 'sit trust', 'ask house', 'trust', 'sit']",0.44962797
 I can't play the trumpet as well as my jazz musician friend I must not be musical.,play trumpet well jazz musician friend must musical,"['play trumpet', 'trumpet jazz', 'trumpet', 'jazz musician', 'musician friend']",0.32886633
 I didn't get invited to the exclusive webinar they must not think I'm knowledgeable.,get invited exclusive webinar must think knowledgeable,"['exclusive webinar', 'webinar think', 'webinar', 'knowledgeable', 'think knowledgeable']",0.25468764
 I don't have a Rolex I must not be successful.,rolex must successful,"['rolex successful', 'rolex', 'successful']",0.2645982
 My group didn't elect me as leader they must not respect me.,group elect leader must respect,"['leader respect', 'elect leader', 'group elect', 'leader', 'elect']",0.21442872
 I can't write calligraphy like my friend I must not have a steady hand.,write calligraphy like friend must steady hand,"['write calligraphy', 'calligraphy like', 'calligraphy', 'steady hand', 'write']",0.30870318
 I didn't receive the best employee award they must not think I'm dedicated.,receive best employee award must think dedicated,"['employee award', 'best employee', 'award think', 'receive best', 'award']",0.2823266
 I don't have as many stamps in my passport as my friend I must not be well-traveled.,many stamp passport friend must well traveled,"['passport friend', 'stamp passport', 'friend traveled', 'passport', 'stamp']",0.26711035
 My partner didn't compliment my outfit they must not think I look good.,partner compliment outfit must think look good,"['compliment outfit', 'partner compliment', 'outfit think', 'compliment', 'outfit']",0.28383672
 I don't have as many academic publications as my colleague I must not be a good researcher.,many academic publication colleague must good researcher,"['publication colleague', 'good researcher', 'researcher', 'colleague good', 'academic publication']",0.25682747
 I can't perform magic tricks like my magician friend I must lack dexterity.,perform magic trick like magician friend must lack dexterity,"['magician friend', 'magic trick', 'perform magic', 'like magician', 'magician']",0.31754565
 I don't own a private island I must not be ultra-rich.,private island must ultra rich,"['private island', 'island ultra', 'ultra rich', 'island', 'private']",0.20303261
 My teammates didn't pass me the ball they must not trust my skills.,teammate pas ball must trust skill,"['teammate pas', 'ball trust', 'pas ball', 'trust skill', 'trust']",0.27419662
 I can't make cocktails as well as my bartender friend I must lack flair.,make cocktail well bartender friend must lack flair,"['cocktail bartender', 'bartender friend', 'make cocktail', 'bartender', 'cocktail']",0.29669458
 I didn't get the highest score on the test I must not be the smartest in the class.,get highest score test must smartest class,"['smartest class', 'test smartest', 'highest score', 'smartest', 'score test']",0.2403059
 I don't have as many concert T-shirts as my friend I must not be a true music fan.,many concert shirt friend must true music fan,"['concert shirt', 'music fan', 'shirt friend', 'concert', 'true music']",0.24523106
 My roommate didn't ask my opinion on the new decor they must not value my taste.,roommate ask opinion new decor must value taste,"['new decor', 'decor value', 'roommate ask', 'decor', 'value taste']",0.27213275
 I can't play the drums as well as my bandmate I must not have rhythm.,play drum well bandmate must rhythm,"['play drum', 'drum bandmate', 'bandmate rhythm', 'drum', 'rhythm']",0.2934398
 I don't own a designer purse I must not have a sense of fashion.,designer purse must sense fashion,"['designer purse', 'purse sense', 'sense fashion', 'purse', 'fashion']",0.22632182
 My coworker didn't ask me to collaborate on the report they must not think I'm competent.,coworker ask collaborate report must think competent,"['collaborate report', 'ask collaborate', 'collaborate', 'think competent', 'report think']",0.31333697
 I didn't pass the driving test I must be a bad driver.,pas driving test must bad driver,"['pas driving', 'driving test', 'bad driver', 'test bad', 'driver']",0.20165414
 My friend didn't reply to my funny text they must not think I'm humorous.,friend reply funny text must think humorous,"['funny text', 'reply funny', 'friend reply', 'humorous', 'think humorous']",0.36370307
 My spouse didn't make me coffee this morning they must not care about me.,spouse make coffee morning must care,"['coffee morning', 'make coffee', 'morning care', 'coffee', 'spouse make']",0.34076613
 I can't perform yoga poses like my yogi friend I must lack flexibility.,perform yoga pose like yogi friend must lack flexibility,"['yoga pose', 'perform yoga', 'yoga', 'yogi friend', 'like yogi']",0.21392056
 I didn't make it to the final round of the spelling bee my spelling must not be good enough.,make final round spelling bee spelling must good enough,"['bee spelling', 'spelling bee', 'round spelling', 'spelling good', 'spelling']",0.31305304
 I don't have a super-yacht I must not be at the pinnacle of success.,super yacht must pinnacle success,"['yacht pinnacle', 'super yacht', 'pinnacle success', 'yacht', 'pinnacle']",0.23851211
 My friend didn't invite me to their yoga class they must not think I'm fit.,friend invite yoga class must think fit,"['invite yoga', 'yoga class', 'yoga', 'friend invite', 'think fit']",0.34699178
 I can't brew beer as well as my craft brewer friend I must not have the knack for it.,brew beer well craft brewer friend must knack,"['craft brewer', 'beer craft', 'brew beer', 'brewer friend', 'brew']",0.28595364
 I didn't make the dean's list I must not be studying hard enough.,make dean list must studying hard enough,"['dean list', 'make dean', 'dean', 'list studying', 'studying hard']",0.24916165
 I don't have as many theater tickets as my thespian friend I must not be cultured.,many theater ticket thespian friend must cultured,"['theater ticket', 'theater', 'friend cultured', 'ticket thespian', 'cultured']",0.30218565
 My boss didn't give me feedback they must not care about my progress.,bos give feedback must care progress,"['bos feedback', 'feedback care', 'feedback', 'bos', 'progress']",0.40492365
 I can't play the piano as well as my pianist friend I must not have musical talent.,play piano well pianist friend must musical talent,"['pianist friend', 'play piano', 'piano pianist', 'piano', 'pianist']",0.30891415
 I didn't get selected for the honors society I must not be academically superior.,get selected honor society must academically superior,"['honor society', 'academically superior', 'selected honor', 'society academically', 'honor']",0.2867517
 I don't own a racehorse I must not be truly elite.,racehorse must truly elite,"['racehorse truly', 'racehorse', 'truly elite', 'elite', 'truly']",0.17468637
 My group didn't support my idea they must not value my thoughts.,group support idea must value thought,"['group support', 'support idea', 'idea value', 'value thought', 'group']",0.31977764
 I can't arrange flowers as well as my florist friend I must not have an eye for aesthetics.,arrange flower well florist friend must eye aesthetic,"['flower florist', 'arrange flower', 'florist friend', 'florist', 'flower']",0.2515893
 I didn't get the top score in the game I must not be a good player.,get top score game must good player,"['score game', 'score', 'player', 'game good', 'game']",0.24360172
 I don't have as many rare coins as my numismatist friend I must not be a true collector.,many rare coin numismatist friend must true collector,"['rare coin', 'coin numismatist', 'true collector', 'coin', 'numismatist friend']",0.23075587
 My friend didn't laugh at my joke they must not think I'm funny.,friend laugh joke must think funny,"['friend laugh', 'laugh joke', 'joke think', 'think funny', 'laugh']",0.33339155
 I wasn't chosen for the task force at work they must not think I can contribute.,chosen task force work must think contribute,"['think contribute', 'chosen task', 'task force', 'work think', 'task']",0.34836975
 My partner didn't comment on my new haircut they must not notice me.,partner comment new haircut must notice,"['haircut notice', 'new haircut', 'partner comment', 'haircut', 'comment new']",0.2571048
 I can't play the guitar as well as my musician friend I must lack musical talent.,play guitar well musician friend must lack musical talent,"['musician friend', 'play guitar', 'guitar musician', 'musical talent', 'musician']",0.32845226
 I didn't place in the local marathon I must not be a good runner.,place local marathon must good runner,"['local marathon', 'marathon', 'marathon good', 'good runner', 'runner']",0.20563725
 I don't have a Swiss bank account I must not be financially savvy.,swiss bank account must financially savvy,"['swiss bank', 'account financially', 'bank account', 'swiss', 'financially savvy']",0.08153765
 I can't do cross-stitch like my crafty aunt I must lack patience and precision.,cross stitch like crafty aunt must lack patience precision,"['cross stitch', 'stitch', 'stitch like', 'crafty aunt', 'crafty']",0.25056297
 I didn't receive a distinction for my thesis it must not have been impressive.,receive distinction thesis must impressive,"['distinction thesis', 'thesis impressive', 'thesis', 'receive distinction', 'distinction']",0.24314052
 My roommate didn't ask my opinion on the new paint color they must not respect my input.,roommate ask opinion new paint color must respect input,"['paint color', 'color respect', 'new paint', 'paint', 'respect input']",0.2975382
 I can't dance salsa as well as my Latin friend I must not have rhythm.,dance salsa well latin friend must rhythm,"['salsa latin', 'dance salsa', 'salsa', 'latin friend', 'friend rhythm']",0.21528953
 I didn't get chosen for the peer mentoring program I must not be a good leader.,get chosen peer mentoring program must good leader,"['peer mentoring', 'mentoring program', 'mentoring', 'chosen peer', 'peer']",0.36041713
 I don't own a collection of vintage wines I must not be a connoisseur.,collection vintage wine must connoisseur,"['vintage wine', 'wine connoisseur', 'collection vintage', 'wine', 'connoisseur']",0.1468573
 My friend didn't ask me to pet sit they must not trust me.,friend ask pet sit must trust,"['pet sit', 'ask pet', 'sit trust', 'pet', 'sit']",0.3683167
 I didn't get accepted into the Ivy League school I must not be smart enough.,get accepted school must smart enough,"['accepted school', 'school smart', 'school', 'smart', 'accepted']",0.33722067
 I can't swim as well as my lifeguard friend I must be a poor swimmer.,swim well lifeguard friend must poor swimmer,"['swim lifeguard', 'poor swimmer', 'swimmer', 'lifeguard friend', 'swim']",0.36942607
 I don't have as many pairs of shoes as my fashionista friend I must lack style.,many pair shoe fashionista friend must lack style,"['shoe fashionista', 'fashionista friend', 'fashionista', 'pair shoe', 'lack style']",0.2721889
 I can't knit like my grandmother I must lack hand-eye coordination.,knit like grandmother must lack hand eye coordination,"['knit', 'knit like', 'eye coordination', 'hand eye', 'grandmother lack']",0.26987013
 I didn't win the chess tournament I must not be strategic enough.,win chess tournament must strategic enough,"['tournament strategic', 'chess tournament', 'win chess', 'chess', 'strategic']",0.2175416
 I don't own a mansion I must not be truly successful.,mansion must truly successful,"['mansion truly', 'mansion', 'truly successful', 'successful', 'truly']",0.3069874
 I didn't pass the certification exam I must not be skilled enough.,pas certification exam must skilled enough,"['pas certification', 'exam skilled', 'certification exam', 'certification', 'pas']",0.17427966
 I don't have as many antiques as my history-buff friend I must not appreciate history.,many antique history buff friend must appreciate history,"['antique history', 'appreciate history', 'history buff', 'antique', 'history']",0.26904094
 My coworker didn't ask for my help they must not value my expertise.,coworker ask help must value expertise,"['value expertise', 'help value', 'expertise', 'coworker ask', 'ask help']",0.32318372
 I can't do gymnastics like my athlete friend I must lack physical ability.,gymnastics like athlete friend must lack physical ability,"['athlete friend', 'gymnastics like', 'gymnastics', 'like athlete', 'athlete']",0.32494774
 I didn't get into the honor's class I must not be academically advanced.,get honor class must academically advanced,"['honor class', 'class academically', 'academically advanced', 'honor', 'academically']",0.23838736
 I don't own a luxury sports car I must not be high-status.,luxury sport car must high status,"['luxury sport', 'sport car', 'car high', 'high status', 'luxury']",0.21528354
 My friends didn't ask me to join their book club they must not think I'm well-read.,friend ask join book club must think well read,"['book club', 'join book', 'ask join', 'book', 'club think']",0.44931763
 I didn't get a callback for the audition I must not be a good performer.,get callback audition must good performer,"['callback audition', 'audition good', 'audition', 'callback', 'performer']",0.2282419
 I don't have as many vinyl records as my audiophile friend I must not appreciate music.,many vinyl record audiophile friend must appreciate music,"['vinyl record', 'record audiophile', 'vinyl', 'audiophile friend', 'appreciate music']",0.22474542
 My friend didn't react to my anecdote they must not find me interesting.,friend react anecdote must find interesting,"['react anecdote', 'anecdote interesting', 'friend react', 'anecdote', 'interesting']",0.49661583
 I can't play tennis as well as my sporty friend I must lack athletic ability.,play tennis well sporty friend must lack athletic ability,"['play tennis', 'tennis sporty', 'tennis', 'lack athletic', 'athletic ability']",0.3165236
 I didn't win the local poetry contest my poems must not be good enough.,win local poetry contest poem must good enough,"['contest poem', 'poetry contest', 'poem good', 'local poetry', 'poem']",0.31088978
 I don't own a penthouse I must not be living a luxurious life.,penthouse must living luxurious life,"['penthouse living', 'penthouse', 'living luxurious', 'luxurious life', 'luxurious']",0.30781344
 I didn't get a perfect score on my SATs I must not be intelligent enough.,get perfect score sat must intelligent enough,"['score sat', 'sat intelligent', 'sat', 'perfect score', 'score']",0.31829405
 I can't play the violin as well as my musician friend I must not have musical talent.,play violin well musician friend must musical talent,"['play violin', 'violin musician', 'violin', 'musician friend', 'musical talent']",0.2886055
 I didn't make the varsity team my skills must not be good enough.,make varsity team skill must good enough,"['make varsity', 'varsity team', 'varsity', 'team skill', 'skill good']",0.19816795
 I don't own a priceless art collection I must not be a true art aficionado.,priceless art collection must true art aficionado,"['priceless art', 'art collection', 'art aficionado', 'true art', 'art']",0.1474616
 I don't have as many stamps in my passport as my world-traveler friend I must not be adventurous.,many stamp passport world traveler friend must adventurous,"['stamp passport', 'passport world', 'friend adventurous', 'world traveler', 'passport']",0.27577972
 My friend didn't share my post they must not think it's worth sharing.,friend share post must think worth sharing,"['friend share', 'share post', 'worth sharing', 'sharing', 'share']",0.3753515
 I wasn't selected for the scholarship they must not think I'm deserving.,selected scholarship must think deserving,"['selected scholarship', 'scholarship think', 'scholarship', 'think deserving', 'deserving']",0.25448078
 I don't have as many rare books as my bibliophile friend I must not appreciate literature.,many rare book bibliophile friend must appreciate literature,"['book bibliophile', 'appreciate literature', 'rare book', 'bibliophile friend', 'literature']",0.24485013
 I can't do stand-up comedy like my comedian friend I must not be funny.,stand comedy like comedian friend must funny,"['stand comedy', 'comedian friend', 'comedian', 'like comedian', 'comedy like']",0.31321415
 I didn't place in the writing competition my stories must not be good enough.,place writing competition story must good enough,"['writing competition', 'competition story', 'place writing', 'competition', 'place']",0.32531658
 I don't own a high-end camera I must not be a serious photographer.,high end camera must serious photographer,"['camera photographer', 'photographer', 'camera', 'end camera', 'high end']",0.25695497
 I can't play soccer like my athlete friend I must not have any athletic skills.,play soccer like athlete friend must athletic skill,"['play soccer', 'athletic skill', 'friend athletic', 'athlete friend', 'like athlete']",0.24031863
 I didn't win the startup pitch contest my ideas must not be groundbreaking.,win startup pitch contest idea must groundbreaking,"['contest idea', 'idea groundbreaking', 'pitch contest', 'startup pitch', 'contest']",0.1525357
 I don't have as many sneakers as my sneakerhead friend I must not be a real sneaker enthusiast.,many sneaker sneakerhead friend must real sneaker enthusiast,"['sneakerhead friend', 'sneaker enthusiast', 'real sneaker', 'sneaker sneakerhead', 'sneaker']",0.2391304
 I can't do parkour like my friend I must not be agile.,parkour like friend must agile,"['friend agile', 'parkour like', 'parkour', 'agile', 'like friend']",0.3526188
 I didn't get straight A's I must not be studious enough.,get straight must studious enough,"['straight studious', 'straight', 'studious']",0.3505091
 I don't own a gold watch I must not have made it in life.,gold watch must made life,"['gold watch', 'gold', 'watch life', 'watch', 'life']",0.33523816
 My friends didn't ask me to join their startup they must not think I'm enterprising.,friend ask join startup must think enterprising,"['join startup', 'ask join', 'startup think', 'startup', 'join']",0.36544046
 I can't play chess as well as my grandmaster friend I must not be strategic.,play chess well grandmaster friend must strategic,"['chess grandmaster', 'play chess', 'grandmaster friend', 'friend strategic', 'chess']",0.32764968
 I didn't get accepted into the master's program I must not be qualified.,get accepted master program must qualified,"['master program', 'accepted master', 'program qualified', 'qualified', 'master']",0.12897897
 I don't have as many LinkedIn connections as my networking friend I must not be professional.,many linkedin connection networking friend must professional,"['linkedin connection', 'networking friend', 'linkedin', 'friend professional', 'connection networking']",0.21792017
 I can't play the saxophone as well as my jazz musician friend I must lack musical talent.,play saxophone well jazz musician friend must lack musical talent,"['play saxophone', 'saxophone jazz', 'jazz musician', 'saxophone', 'musician friend']",0.32340813
 I didn't qualify for the final round in the debate competition I must not be articulate enough.,qualify final round debate competition must articulate enough,"['debate competition', 'round debate', 'debate', 'competition articulate', 'final round']",0.20253292
 I don't own a luxury sedan I must not have attained the highest success.,luxury sedan must attained highest success,"['luxury sedan', 'sedan attained', 'luxury', 'sedan', 'highest success']",0.19201267
 I didn't pass the pilot's license exam I must not have the aptitude for flying.,pas pilot license exam must aptitude flying,"['pilot license', 'pas pilot', 'license exam', 'exam aptitude', 'aptitude flying']",0.120655596
 I don't have as many vintage posters as my retro-loving friend I must not appreciate vintage culture.,many vintage poster retro loving friend must appreciate vintage culture,"['vintage poster', 'vintage culture', 'poster retro', 'appreciate vintage', 'vintage']",0.25989676
 My roommate didn't ask my opinion on the new furniture they must not value my opinion.,roommate ask opinion new furniture must value opinion,"['furniture value', 'roommate ask', 'new furniture', 'value opinion', 'roommate']",0.31038293
 I can't do extreme sports like my adrenaline-junkie friend I must not be brave.,extreme sport like adrenaline junkie friend must brave,"['extreme sport', 'adrenaline junkie', 'friend brave', 'adrenaline', 'like adrenaline']",0.39917034
 I didn't win the school elections I must not be a good leader.,win school election must good leader,"['school election', 'election good', 'good leader', 'leader', 'win school']",0.30476794
 I don't own a private jet I must not be a member of the super-rich.,private jet must member super rich,"['private jet', 'jet member', 'jet', 'super rich', 'private']",0.22774571
 I didn't get selected for the international exchange program I must not be adaptable.,get selected international exchange program must adaptable,"['exchange program', 'international exchange', 'selected international', 'exchange', 'international']",-0.027875923
 I can't roast coffee beans like my barista friend I must not have a refined palate.,roast coffee bean like barista friend must refined palate,"['roast coffee', 'coffee bean', 'refined palate', 'coffee', 'roast']",0.14331605
 I wasn't promoted this quarter my contributions must not be valued.,promoted quarter contribution must valued,"['quarter contribution', 'promoted quarter', 'contribution valued', 'promoted', 'quarter']",0.09046843
 I don't have as many rare vinyl records as my music enthusiast friend I must not have good music taste.,many rare vinyl record music enthusiast friend must good music taste,"['vinyl record', 'rare vinyl', 'record music', 'vinyl', 'music taste']",0.26307848
 I don't own a holiday home I must not be successful.,holiday home must successful,"['holiday home', 'home successful', 'holiday', 'home', 'successful']",0.30866563
 I can't sing as well as my choir friend I must not have a good voice.,sing well choir friend must good voice,"['choir friend', 'sing choir', 'choir', 'sing', 'good voice']",0.30473226
 I didn't get accepted into the advanced mathematics course I must not be smart enough.,get accepted advanced mathematics course must smart enough,"['mathematics course', 'advanced mathematics', 'mathematics', 'course smart', 'accepted advanced']",0.21671864
 I don't have as many designer clothes as my fashion-forward friend I must not be stylish.,many designer clothes fashion forward friend must stylish,"['friend stylish', 'fashion forward', 'clothes fashion', 'designer clothes', 'fashion']",0.2775221
 My coworker didn't ask for my help with the project they must not trust my capabilities.,coworker ask help project must trust capability,"['project trust', 'trust capability', 'coworker ask', 'trust', 'coworker']",0.32510746
 I can't perform magic tricks like my magician friend I must lack dexterity.,perform magic trick like magician friend must lack dexterity,"['magician friend', 'magic trick', 'perform magic', 'like magician', 'magician']",0.31754565
 I didn't pass the driving test on the first try I must not be a good driver.,pas driving test first try must good driver,"['pas driving', 'driving test', 'good driver', 'driver', 'test try']",0.26944727
 I don't own a beach house I must not be living life to the fullest.,beach house must living life fullest,"['beach house', 'house living', 'house', 'life fullest', 'beach']",0.3238639
 I can't juggle like my circus performer friend I must not have good coordination.,juggle like circus performer friend must good coordination,"['juggle like', 'juggle', 'circus performer', 'circus', 'like circus']",0.32559156
 I didn't get the lead role in the play I must not be a good actor.,get lead role play must good actor,"['lead role', 'good actor', 'actor', 'role play', 'role']",0.24267799
 My friend didn't respond to my joke they must not find me humorous.,friend respond joke must find humorous,"['respond joke', 'joke humorous', 'friend respond', 'joke', 'humorous']",0.34917814
I鈥檓 14 years old and have social anxiety / depression When I was 5 years old my father was killed in a car crash After that my mother continued to work When I was 9 my mom and I were in a severe car accident She broke every bone on the right side of her body and I ruptured my spleen and fractured my leg,year old social anxiety depression year old father killed car crash mother continued work mom severe car accident broke every bone right side body ruptured spleen fractured leg,"['mom severe', 'spleen fractured', 'anxiety depression', 'crash mother', 'depression']",0.460245
 My Mother and I have had a rocky history mostly as a result of a childhood divorce (my mother cheated on my father who I have always been extremely close to and re-married immediately to a younger man) and her alcohol addiction Subsequently over the years she received treatment and changed her life and so we re-established a relationship and have grown close,rocky history mostly result childhood divorce alcohol addiction subsequently year received treatment changed life established relationship grown close,"['divorce alcohol', 'childhood divorce', 'alcohol addiction', 'addiction subsequently', 'divorce']",0.3676943
About a year ago I had an affair with a girl that I have broken off and had no contact with for said time I have done everything in my power to prove to my girlfriend that I鈥檓 faithful now Almost on a daily basis she accuses me of doing stuff behind her back to the point that I鈥檓 ready to leave her,year ago affair girl broken contact said time done everything power prove girlfriend faithful almost daily basis accuses stuff behind back point ready leave,"['prove girlfriend', 'girlfriend faithful', 'affair girl', 'ago affair', 'accuses stuff']",0.45821893
鈥and spanked for punishment Why do I have this innate need to be dominated by my husband? I recently asked him to spank me as punishment when I disrespect him by fighting with him or raising my voice to him and there are a few other rules we set when I asked him for this My parents did not have a relationship like this it is just something I have felt and needed within myself since I married my husband After he spanks me there is no sex 鈥 it is strictly a discipline session and then we just move on So i don鈥檛 believe i would call it a fetish so to speak,spanked punishment innate need dominated husband recently asked spank punishment disrespect fighting raising voice rule set asked parent relationship like something felt needed within since married husband spank sex strictly discipline session move believe would call fetish speak,"['husband spank', 'spank punishment', 'spanked punishment', 'spank sex', 'spanked']",0.38923705
I am a 21 year old female college student Of course everyone in college drinks but I have been drinking since I was a freshman in high school I鈥檝e always had a lot of friends and most people refer to me as 鈥淭he plastic bottle princess鈥 or something of that nature because I drink cheap vodka and they know I can out drink almost anyone I have people come up to me and challenge me to drinking contests to see if they can beat me I also meet people and they say to me 鈥淵ou鈥檙e _______ I heard about that thing you did when you were drunk鈥 People I have never met know me because of my drunken stories being told,year old female college student course everyone college drink drinking since freshman high school always lot friend people refer plastic bottle princess something nature drink cheap vodka know drink almost anyone people come challenge drinking contest see beat also meet people say heard thing drunk people never met know drunken story told,"['drinking freshman', 'college drink', 'drink drinking', 'drink people', 'challenge drinking']",0.393866
my fiance and i have been together for almost 3 years now we have a daughter and home together about two months ago we went on a 鈥渂reak鈥 i was torn up inside he was partying almost every night he would barley even see our daughter because a majority of the time he was to hungover or to busy going out i was absolutley heart broken he had always been a great dad and a great fiance we would rarley fight i thought we were happy,fiance together almost year daughter home together two month ago went reak torn inside partying almost every night would barley even see daughter majority time hungover busy going absolutley heart broken always great dad great fiance would rarley fight thought happy,"['daughter home', 'fiance', 'great fiance', 'daughter', 'daughter majority']",0.43303418
I am in a 2-years-long relationship with my boyfriend who is my very dear friend and I think he needs help We are both 23 years old live in Serbia and everything seemed just fine (we did not argue we had great sexual life we talked a lot etc),year long relationship boyfriend dear friend think need help year old live serbia everything seemed fine,"['serbia fine', 'live serbia', 'relationship boyfriend', 'serbia', 'long relationship']",0.46355575
Hello Ive been with my boyfriend for 3 years now and before we got together he warned me that before we had intercourse not to be 鈥榓larmed鈥 if he didnt come as he said it usually takes him several hours to do so I then credited myself thereafter as everytime we had intercourse he orgasmed Recently things have actually stopped I have a very high sex drive and it has got to the point that he can not be bothered to have sex as it 鈥渢akes too long鈥 Ive asked him to masturbate more often so that he can feel comfortable doing it himself and he has no interest at all due to it taking so long and putting him off,boyfriend year got together warned intercourse larmed didnt come said usually take several hour credited thereafter everytime intercourse orgasmed recently thing actually stopped high sex drive got point bothered sex akes long ive asked masturbate often feel comfortable interest due taking long putting,"['intercourse orgasmed', 'sex drive', 'intercourse larmed', 'intercourse', 'orgasmed recently']",0.3537069
I am a 25 year old female that has come a long way I was diagnosed as bipolar at age 18 from there I was institutionalized on many occasions by the age of 21 I was in such a bad condition that when my mother applied for disability on my behalf I was accepted immediately I was told people are normally denied on their first attempt The challenge was to find the right medication that would control my depression insomnia and suicidal/homicidal thoughts At age 22 I was placed on Lamictal and Seroquel I was able to cope I recently graduated with an AS degree as summa cum laude and I received the president鈥檚 cup I have earned various IT certifications and I am now studying to be a biomedical engineer School has been difficult for me not so much as learning but working in groups or speaking in front of the class I am not fond of school but I want to earn more money so I can purchase a house in the country I would have never pictured my life changing in this matter for the first time in my life I can honestly say I want to live,year old female come long way diagnosed bipolar age institutionalized many occasion age bad condition mother applied disability behalf accepted immediately told people normally denied first attempt challenge find right medication would control depression insomnia suicidal homicidal thought age placed lamictal seroquel able cope recently graduated degree summa cum laude received president cup earned various certification studying biomedical engineer school difficult much learning working group speaking front class fond school want earn money purchase house country would never pictured life changing matter first time life honestly say want live,"['applied disability', 'bipolar age', 'disability', 'diagnosed bipolar', 'bipolar']",0.585008
My boyfriend and I dated for four months After we first broke up we started talking again We talked for three months Then I found out that the reason why he broke up with me was because he liked my sister I was really hurt but I still talked to him because I really really cared about him I could forgive him even if he liked my sister,boyfriend dated four month first broke started talking talked three month found reason broke liked sister really hurt still talked really really cared could forgive even liked sister,"['boyfriend dated', 'forgive liked', 'cared forgive', 'hurt talked', 'broke liked']",0.4289893
 Hi I鈥檓 living with extreme guilt and regret It was at a party just over a year ago when a friend and I shared a bed I鈥檓 not a heavy drinker but I get easily intoxicated I may have had 2 or 3 glasses at most My friend passed out on the bed but I was awake only being mildly tipsy Later into the night I did the most horrible thing I placed my hands into his pants and felt his genitals while he was asleep,living extreme guilt regret party year ago friend shared bed heavy drinker get easily intoxicated may glass friend passed bed awake mildly tipsy later night horrible thing placed hand pant felt genitals asleep,"['intoxicated', 'easily intoxicated', 'intoxicated glass', 'extreme guilt', 'regret party']",0.507573
My fiance and I have been engaged for over a year Our wedding was put off because his parents asked him to build a house for them 2 months before our wedding! They had a perfectly good house at the time they just wanted their dream house Regardless my fiance granted their wishes and the concrete was poured the day that we were to get married,fiance engaged year wedding put parent asked build house month wedding perfectly good house time wanted dream house regardless fiance granted wish concrete poured day get married,"['fiance granted', 'wedding', 'month wedding', 'wedding parent', 'wedding perfectly']",0.38064772
My Bf and I have been together for a little over a year His mother passed away in Sept after a tough battle with cancer I was by his side through it all She passed on Sept 20 2010 On Sept 28 2010 he and his father met with an insurance rep to discuss his mother鈥檚 long term care policy On October 3-6 my bf would not talk to me He would ignore my calls and emails Then on Oct 7 He started talking to me again as if nothing had happened When I asked why he hadn鈥檛 been talking to me he said he was sorry but that everything with his mom had 鈥渁rrived at his front door鈥 I was understanding and sympathetic but I had a 鈥済ut鈥 feeling that something wasn鈥檛 quite right A couple of weeks later he was at my house and forgot to close his email鈥 yes I snooped,together little year mother passed away sept tough battle cancer side passed sept father met insurance rep discus mother long term care policy would talk would ignore call email oct started talking nothing happened asked talking said sorry everything mom rrived front door understanding sympathetic feeling something quite right couple week later house forgot close email yes snooped,"['mother passed', 'care policy', 'email', 'close email', 'email oct']",0.53607774
From a young woman in Australia: I care little about people other than immediate family and my partner I鈥檓 very possessive of people and get angry (internally) if they show interest in/preference to others This applies most to 鈥渇riends鈥 (they would call me a friend but I don鈥檛 consider them that) my family my partner my students,young woman australia care little people immediate family partner possessive people get angry show interest preference others applies riends family partner student,"['family partner', 'possessive people', 'partner possessive', 'immediate family', 'family']",0.5378179
